id,role,industry,experience_level,years_experience,education_level,resume_text,technical_skills,project_count,certification_count,github_projects,salary_expectation,location,selected,interview_score,ats_score,culture_fit_score
727,Frontend Developer,Education,Lead,5,PhD,"Experienced Frontend Developer with 5 years in software development. Proficient in Angular, HTML, CSS, React. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['React', 'Strong', 'Proficient', 'Angular', 'Frontend', 'Developer', 'Led', 'Experienced']",5,4,1,145824,Hybrid,False,0.90048020203781,70,0.553015613606213
728,Android Developer,Healthcare,Mid,1,High School,"Experienced Android Developer with 3 years in software development. Proficient in SQL, Python, JavaScript. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Strong', 'Proficient', 'Developer', 'Led', 'Android', 'Experienced']",9,1,1,119823,Remote,True,0.9304865595991749,40,0.537475534961287
729,Data Scientist,Healthcare,Lead,14,Bachelor,"Experienced Data Scientist with 5 years in software development. Proficient in NumPy, Tableau, Pandas, Scikit-learn. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Data', 'Strong', 'Scientist', 'Scikit', 'Proficient', 'Led', 'Pandas', 'Tableau']",2,1,13,30378,Remote,False,0.39411270733098036,85,0.5047683418077913
730,Project Manager,Education,Principal,14,PhD,"Experienced Project Manager with 6 years in software development. Proficient in SQL, Python, JavaScript. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Project', 'Python', 'Strong', 'Proficient', 'Led', 'Manager', 'Experienced']",8,2,9,44027,On-site,False,0.8825751200072642,82,0.5931352455010899
731,Frontend Developer,Technology,Lead,3,PhD,"Experienced Frontend Developer with 5 years in software development. Proficient in TypeScript, JavaScript, CSS, Vue.js. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Vue', 'Strong', 'Proficient', 'Frontend', 'Developer', 'Led', 'Experienced']",5,4,8,94505,Remote,False,0.3611057203290503,43,0.9142034574217379
732,Backend Developer,Manufacturing,Junior,1,Bachelor,"Experienced Backend Developer with 2 years in software development. Proficient in Django, Java, Python, Spring. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Experienced', 'Python', 'Strong', 'Proficient', 'Developer', 'Led', 'Spring', 'Backend']",8,2,13,37114,Remote,True,0.714416634146518,47,0.7082821955106362
733,Full Stack Developer,E-commerce,Senior,1,High School,"Experienced Full Stack Developer with 4 years in software development. Proficient in JavaScript, SQL, Python. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Full', 'Python', 'Strong', 'Proficient', 'Developer', 'Led', 'Stack', 'Experienced']",5,2,2,73173,Hybrid,True,0.7549986945212699,57,0.9228234653790293
734,Data Scientist,E-commerce,Junior,9,Master,"Experienced Data Scientist with 2 years in software development. Proficient in Python, Scikit-learn, Tableau, TensorFlow. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Data', 'Strong', 'Scientist', 'Scikit', 'Proficient', 'Led', 'Tableau']",5,3,4,51099,Remote,False,0.7518086459338937,87,0.7131556289856806
735,UI/UX Designer,Finance,Lead,6,High School,"Experienced UI/UX Designer with 5 years in software development. Proficient in SQL, JavaScript, Python. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Designer', 'Python', 'Strong', 'Proficient', 'Led', 'Experienced']",5,4,3,122756,Hybrid,True,0.43742403337451174,84,0.5788087281401548
736,DevOps Engineer,Healthcare,Junior,3,PhD,"Experienced DevOps Engineer with 2 years in software development. Proficient in Jenkins, Kubernetes, Ansible, AWS. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Experienced', 'Jenkins', 'Strong', 'Proficient', 'Engineer', 'Led', 'Ansible', 'Kubernetes']",3,0,4,67560,Remote,False,0.9539557942093,56,0.6388304524135698
737,UI/UX Designer,Healthcare,Principal,13,PhD,"Experienced UI/UX Designer with 6 years in software development. Proficient in SQL, JavaScript, Python. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Designer', 'Python', 'Strong', 'Proficient', 'Led', 'Experienced']",3,2,9,134032,On-site,False,0.5451716505848271,73,0.9540111595630771
738,ML Engineer,Technology,Mid,2,High School,"Experienced ML Engineer with 3 years in software development. Proficient in TensorFlow, AWS, PyTorch, MLOps. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Strong', 'Proficient', 'Engineer', 'Led', 'Experienced']",1,1,18,51890,Remote,False,0.612054677016751,72,0.5070819696270477
739,Cloud Architect,E-commerce,Senior,13,High School,"Experienced Cloud Architect with 4 years in software development. Proficient in Python, SQL, JavaScript. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Strong', 'Proficient', 'Architect', 'Led', 'Cloud', 'Experienced']",9,3,11,34900,Hybrid,False,0.8487579123086295,46,0.7698202549797938
740,Cloud Architect,Education,Mid,10,Master,"Experienced Cloud Architect with 3 years in software development. Proficient in SQL, Python, JavaScript. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Strong', 'Proficient', 'Architect', 'Led', 'Cloud', 'Experienced']",4,0,19,39494,On-site,True,0.6871576509931647,42,0.4650993133609516
741,DevOps Engineer,Technology,Entry,2,Master,"Experienced DevOps Engineer with 1 years in software development. Proficient in CI/CD, Kubernetes, Ansible, Docker. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Experienced', 'Strong', 'Proficient', 'Docker', 'Engineer', 'Led', 'Ansible', 'Kubernetes']",1,2,19,105286,Hybrid,True,0.6681701016949906,58,0.7864620976884231
742,Data Scientist,Healthcare,Principal,13,High School,"Experienced Data Scientist with 6 years in software development. Proficient in TensorFlow, Scikit-learn, NumPy, SQL. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Data', 'Strong', 'Scientist', 'Scikit', 'Proficient', 'Led', 'Experienced']",1,0,5,143486,On-site,False,0.45590059911483566,63,0.8289203910238296
743,QA Tester,E-commerce,Senior,7,PhD,"Experienced QA Tester with 4 years in software development. Proficient in SQL, Python, JavaScript. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Strong', 'Proficient', 'Tester', 'Led', 'Experienced']",8,3,0,73447,Hybrid,True,0.5027192267789258,49,0.6850972554537806
744,QA Tester,Education,Junior,3,High School,"Experienced QA Tester with 2 years in software development. Proficient in SQL, JavaScript, Python. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Strong', 'Proficient', 'Tester', 'Led', 'Experienced']",8,0,1,92938,Remote,False,0.9914351991546286,83,0.7733358141192769
745,UI/UX Designer,Finance,Principal,8,High School,"Experienced UI/UX Designer with 6 years in software development. Proficient in SQL, JavaScript, Python. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Designer', 'Python', 'Strong', 'Proficient', 'Led', 'Experienced']",6,0,1,63680,On-site,False,0.34074831164789376,48,0.8791155208503718
746,Data Scientist,Finance,Senior,4,PhD,"Experienced Data Scientist with 4 years in software development. Proficient in SQL, TensorFlow, Tableau, Python. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Data', 'Strong', 'Scientist', 'Proficient', 'Led', 'Tableau', 'Experienced']",6,3,15,60006,On-site,False,0.44401505451758727,94,0.8011983560422096
747,Data Engineer,Technology,Senior,5,High School,"Experienced Data Engineer with 4 years in software development. Proficient in Python, JavaScript, SQL. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Data', 'Strong', 'Proficient', 'Engineer', 'Led', 'Experienced']",1,3,10,54487,Hybrid,True,0.5217309128630991,43,0.9382149105895821
748,UI/UX Designer,Healthcare,Entry,12,Bachelor,"Experienced UI/UX Designer with 1 years in software development. Proficient in SQL, JavaScript, Python. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Designer', 'Python', 'Strong', 'Proficient', 'Led', 'Experienced']",1,2,16,97441,Remote,True,0.5357540392495229,75,0.5455832626898203
749,ML Engineer,E-commerce,Entry,6,Master,"Experienced ML Engineer with 1 years in software development. Proficient in Python, AWS, PyTorch, Kubernetes. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Experienced', 'Python', 'Strong', 'Proficient', 'Engineer', 'Led', 'Kubernetes']",7,1,9,93668,On-site,False,0.5943277706804206,83,0.4243655807988484
750,Project Manager,Education,Junior,4,Master,"Experienced Project Manager with 2 years in software development. Proficient in SQL, JavaScript, Python. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Project', 'Python', 'Strong', 'Proficient', 'Led', 'Manager', 'Experienced']",8,2,17,137918,Remote,False,0.6927539595989793,60,0.5439601812156449
751,Project Manager,Healthcare,Entry,0,Bachelor,"Experienced Project Manager with 1 years in software development. Proficient in JavaScript, SQL, Python. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Project', 'Python', 'Strong', 'Proficient', 'Led', 'Manager', 'Experienced']",8,0,13,147123,Hybrid,False,0.8699120922088048,62,0.7644123875038733
752,Product Manager,Manufacturing,Entry,14,High School,"Experienced Product Manager with 1 years in software development. Proficient in SQL, Python, JavaScript. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Strong', 'Proficient', 'Led', 'Product', 'Manager', 'Experienced']",5,1,1,43016,Remote,True,0.955948925915203,44,0.7085858492128004
753,Cloud Architect,Manufacturing,Mid,9,PhD,"Experienced Cloud Architect with 3 years in software development. Proficient in SQL, JavaScript, Python. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Strong', 'Proficient', 'Architect', 'Led', 'Cloud', 'Experienced']",8,4,9,149428,Hybrid,False,0.8520153588381616,46,0.4523642263991905
754,Frontend Developer,E-commerce,Senior,11,Master,"Experienced Frontend Developer with 4 years in software development. Proficient in JavaScript, Angular, HTML, CSS. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Strong', 'Proficient', 'Angular', 'Frontend', 'Developer', 'Led', 'Experienced']",8,3,12,75187,On-site,True,0.4814229787246616,63,0.4092716023509504
755,QA Tester,Education,Principal,8,Master,"Experienced QA Tester with 6 years in software development. Proficient in SQL, JavaScript, Python. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Strong', 'Proficient', 'Tester', 'Led', 'Experienced']",6,4,15,37364,Hybrid,True,0.927146340965255,43,0.9161878296530135
756,Security Engineer,Finance,Principal,2,High School,"Experienced Security Engineer with 6 years in software development. Proficient in SQL, Python, JavaScript. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Strong', 'Proficient', 'Engineer', 'Led', 'Security', 'Experienced']",7,3,18,52923,Remote,False,0.4748217146331808,46,0.7525782512036576
757,Full Stack Developer,Education,Entry,0,PhD,"Experienced Full Stack Developer with 1 years in software development. Proficient in Python, SQL, JavaScript. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Full', 'Python', 'Strong', 'Proficient', 'Developer', 'Led', 'Stack', 'Experienced']",4,1,11,116383,On-site,False,0.46139175586815245,84,0.41657399451358623
758,Full Stack Developer,Finance,Entry,8,PhD,"Experienced Full Stack Developer with 1 years in software development. Proficient in JavaScript, SQL, Python. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Full', 'Python', 'Strong', 'Proficient', 'Developer', 'Led', 'Stack', 'Experienced']",9,1,19,57218,On-site,True,0.5819746244766766,80,0.7581905839228666
759,QA Tester,Healthcare,Senior,8,High School,"Experienced QA Tester with 4 years in software development. Proficient in Python, SQL, JavaScript. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Strong', 'Proficient', 'Tester', 'Led', 'Experienced']",6,1,1,58823,Remote,False,0.3490275158540462,42,0.8796533364551149
760,Cloud Architect,Education,Principal,14,Master,"Experienced Cloud Architect with 6 years in software development. Proficient in SQL, JavaScript, Python. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Strong', 'Proficient', 'Architect', 'Led', 'Cloud', 'Experienced']",1,4,12,35805,On-site,False,0.9776923934159063,94,0.9475657425758013
761,Product Manager,Education,Lead,8,Master,"Experienced Product Manager with 5 years in software development. Proficient in Python, JavaScript, SQL. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Strong', 'Proficient', 'Led', 'Product', 'Manager', 'Experienced']",4,4,12,100709,Hybrid,False,0.8309528428196824,58,0.5867695672631431
762,QA Tester,Manufacturing,Lead,2,High School,"Experienced QA Tester with 5 years in software development. Proficient in Python, JavaScript, SQL. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Strong', 'Proficient', 'Tester', 'Led', 'Experienced']",9,2,6,117879,On-site,True,0.7368020269413987,60,0.46678268028832876
763,Cloud Architect,Technology,Entry,6,Bachelor,"Experienced Cloud Architect with 1 years in software development. Proficient in Python, SQL, JavaScript. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Strong', 'Proficient', 'Architect', 'Led', 'Cloud', 'Experienced']",1,0,4,136387,Hybrid,True,0.4142003436876016,94,0.5147269967677648
764,Mobile Developer,Manufacturing,Principal,2,High School,"Experienced Mobile Developer with 6 years in software development. Proficient in SQL, JavaScript, Python. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Strong', 'Proficient', 'Developer', 'Led', 'Mobile', 'Experienced']",2,2,13,143060,Hybrid,False,0.39570343843251593,70,0.9618324385919564
765,Project Manager,E-commerce,Mid,8,Master,"Experienced Project Manager with 3 years in software development. Proficient in SQL, Python, JavaScript. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Project', 'Python', 'Strong', 'Proficient', 'Led', 'Manager', 'Experienced']",9,3,9,79291,Hybrid,True,0.3103096021655035,94,0.4267682529694666
766,Backend Developer,Finance,Senior,1,High School,"Experienced Backend Developer with 4 years in software development. Proficient in Django, Node.js, SQL, Python. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Experienced', 'Python', 'Node', 'Strong', 'Proficient', 'Developer', 'Led', 'Backend']",1,1,1,40983,Remote,True,0.35481528672323237,42,0.5685263076698555
767,Cloud Architect,Manufacturing,Entry,5,High School,"Experienced Cloud Architect with 1 years in software development. Proficient in JavaScript, Python, SQL. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Strong', 'Proficient', 'Architect', 'Led', 'Cloud', 'Experienced']",1,0,0,92702,Hybrid,True,0.5588479804792167,76,0.8915047173252284
768,Backend Developer,Manufacturing,Mid,12,PhD,"Experienced Backend Developer with 3 years in software development. Proficient in Node.js, Spring, SQL, PostgreSQL. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Node', 'Strong', 'Proficient', 'Developer', 'Led', 'Spring', 'Backend', 'Experienced']",3,2,6,134749,Hybrid,False,0.5784889185341245,64,0.8408953413293438
769,Backend Developer,Technology,Lead,3,High School,"Experienced Backend Developer with 5 years in software development. Proficient in SQL, Java, Django, Node.js. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Node', 'Strong', 'Django', 'Proficient', 'Developer', 'Led', 'Backend', 'Java']",1,0,7,148286,Remote,False,0.7643219855075155,76,0.4352875880222273
770,Product Manager,Technology,Lead,4,Bachelor,"Experienced Product Manager with 5 years in software development. Proficient in Python, SQL, JavaScript. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Strong', 'Proficient', 'Led', 'Product', 'Manager', 'Experienced']",3,3,10,34524,Hybrid,False,0.8374789401963976,82,0.5666424243201951
771,Full Stack Developer,Finance,Senior,2,High School,"Experienced Full Stack Developer with 4 years in software development. Proficient in JavaScript, Python, SQL. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Full', 'Python', 'Strong', 'Proficient', 'Developer', 'Led', 'Stack', 'Experienced']",5,4,18,53147,On-site,True,0.7184823806818051,92,0.5902122923109018
772,DevOps Engineer,Finance,Principal,7,Master,"Experienced DevOps Engineer with 6 years in software development. Proficient in Terraform, CI/CD, Kubernetes, AWS. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Experienced', 'Terraform', 'Strong', 'Proficient', 'Engineer', 'Led', 'Kubernetes']",7,3,2,147361,Hybrid,False,0.610409135890625,87,0.9778912608385882
773,Data Engineer,Healthcare,Principal,10,High School,"Experienced Data Engineer with 6 years in software development. Proficient in SQL, Python, JavaScript. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Data', 'Strong', 'Proficient', 'Engineer', 'Led', 'Experienced']",1,3,4,50416,On-site,True,0.8375206715899028,44,0.727780627631371
774,Mobile Developer,Finance,Lead,9,High School,"Experienced Mobile Developer with 5 years in software development. Proficient in Python, JavaScript, SQL. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Strong', 'Proficient', 'Developer', 'Led', 'Mobile', 'Experienced']",7,4,9,93058,Hybrid,False,0.46973002506042333,82,0.7273551078006246
775,UI/UX Designer,Education,Entry,9,Master,"Experienced UI/UX Designer with 1 years in software development. Proficient in SQL, Python, JavaScript. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Designer', 'Python', 'Strong', 'Proficient', 'Led', 'Experienced']",8,0,18,98295,Remote,False,0.8863051378475566,43,0.41453774205040894
776,Security Engineer,Technology,Junior,1,Master,"Experienced Security Engineer with 2 years in software development. Proficient in JavaScript, SQL, Python. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Strong', 'Proficient', 'Engineer', 'Led', 'Security', 'Experienced']",1,3,3,31038,Hybrid,False,0.5679256220937654,76,0.5989937590455778
777,ML Engineer,Manufacturing,Principal,11,Master,"Experienced ML Engineer with 6 years in software development. Proficient in AWS, TensorFlow, MLOps, Kubernetes. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Experienced', 'Strong', 'Proficient', 'Engineer', 'Led', 'Kubernetes']",9,4,11,45937,Hybrid,False,0.5086230754288107,78,0.9573916218523563
778,Cloud Architect,Technology,Principal,13,Bachelor,"Experienced Cloud Architect with 6 years in software development. Proficient in Python, SQL, JavaScript. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Strong', 'Proficient', 'Architect', 'Led', 'Cloud', 'Experienced']",6,4,8,80672,Remote,False,0.8638570983558027,79,0.536217756049835
779,Project Manager,Education,Mid,13,PhD,"Experienced Project Manager with 3 years in software development. Proficient in Python, JavaScript, SQL. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Project', 'Python', 'Strong', 'Proficient', 'Led', 'Manager', 'Experienced']",2,2,15,132968,Hybrid,True,0.692609947179551,43,0.7424842883215774
780,UI/UX Designer,Healthcare,Junior,4,High School,"Experienced UI/UX Designer with 2 years in software development. Proficient in JavaScript, Python, SQL. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Designer', 'Python', 'Strong', 'Proficient', 'Led', 'Experienced']",9,4,2,137198,On-site,False,0.9786855616990784,65,0.9779391606703441
781,UI/UX Designer,Education,Principal,7,Bachelor,"Experienced UI/UX Designer with 6 years in software development. Proficient in Python, SQL, JavaScript. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Designer', 'Python', 'Strong', 'Proficient', 'Led', 'Experienced']",1,3,2,70083,Remote,False,0.5709206861742879,85,0.49727103955208457
782,QA Tester,Manufacturing,Mid,11,High School,"Experienced QA Tester with 3 years in software development. Proficient in SQL, Python, JavaScript. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Strong', 'Proficient', 'Tester', 'Led', 'Experienced']",3,4,5,129456,Hybrid,False,0.5763602913849724,48,0.4386328984253949
783,ML Engineer,Education,Senior,8,High School,"Experienced ML Engineer with 4 years in software development. Proficient in Kubernetes, AWS, MLOps, TensorFlow. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Experienced', 'Strong', 'Proficient', 'Engineer', 'Led', 'Kubernetes']",6,0,13,115971,On-site,True,0.8305806784185428,57,0.9923262974367447
784,Backend Developer,Finance,Mid,7,Bachelor,"Experienced Backend Developer with 3 years in software development. Proficient in Node.js, Python, PostgreSQL, Spring. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Node', 'Strong', 'Proficient', 'Developer', 'Led', 'Spring', 'Backend']",3,1,17,89122,On-site,False,0.7331446510014581,70,0.589153977348281
785,Project Manager,Finance,Entry,8,Master,"Experienced Project Manager with 1 years in software development. Proficient in Python, SQL, JavaScript. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Project', 'Python', 'Strong', 'Proficient', 'Led', 'Manager', 'Experienced']",3,3,18,123801,On-site,True,0.6463496243310884,53,0.4292063329775676
786,Full Stack Developer,Healthcare,Mid,5,High School,"Experienced Full Stack Developer with 3 years in software development. Proficient in Python, SQL, JavaScript. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Full', 'Python', 'Strong', 'Proficient', 'Developer', 'Led', 'Stack', 'Experienced']",6,0,3,48254,Hybrid,False,0.700786984739106,73,0.9116008094106242
787,Project Manager,Technology,Junior,1,Master,"Experienced Project Manager with 2 years in software development. Proficient in SQL, Python, JavaScript. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Project', 'Python', 'Strong', 'Proficient', 'Led', 'Manager', 'Experienced']",9,4,2,53139,Remote,False,0.8671451006230093,82,0.669975161438392
788,Backend Developer,Finance,Lead,0,High School,"Experienced Backend Developer with 5 years in software development. Proficient in Node.js, Django, PostgreSQL, Spring. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Node', 'Strong', 'Proficient', 'Developer', 'Led', 'Spring', 'Backend', 'Django']",5,0,15,141896,Remote,True,0.5747982779465778,78,0.49974209569575967
789,Security Engineer,Education,Principal,11,Bachelor,"Experienced Security Engineer with 6 years in software development. Proficient in JavaScript, SQL, Python. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Strong', 'Proficient', 'Engineer', 'Led', 'Security', 'Experienced']",9,1,11,102401,Remote,True,0.7849851890433155,67,0.5057885151555366
790,Android Developer,Finance,Mid,7,Master,"Experienced Android Developer with 3 years in software development. Proficient in JavaScript, Python, SQL. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Strong', 'Proficient', 'Developer', 'Led', 'Android', 'Experienced']",5,0,9,92639,Remote,False,0.9577516027934878,89,0.8725020649074564
791,Data Engineer,Education,Principal,1,Bachelor,"Experienced Data Engineer with 6 years in software development. Proficient in Python, JavaScript, SQL. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Data', 'Strong', 'Proficient', 'Engineer', 'Led', 'Experienced']",8,2,12,30202,On-site,True,0.3739510946630806,81,0.9579026203524478
792,Product Manager,Education,Senior,8,Bachelor,"Experienced Product Manager with 4 years in software development. Proficient in Python, JavaScript, SQL. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Strong', 'Proficient', 'Led', 'Product', 'Manager', 'Experienced']",3,3,11,31625,Hybrid,False,0.9217995391950631,85,0.9746372968674879
793,UI/UX Designer,Finance,Principal,13,Master,"Experienced UI/UX Designer with 6 years in software development. Proficient in Python, JavaScript, SQL. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Designer', 'Python', 'Strong', 'Proficient', 'Led', 'Experienced']",5,3,6,51114,Hybrid,False,0.7909089863111199,51,0.997972977658758
794,Project Manager,Technology,Principal,3,High School,"Experienced Project Manager with 6 years in software development. Proficient in JavaScript, Python, SQL. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Project', 'Python', 'Strong', 'Proficient', 'Led', 'Manager', 'Experienced']",3,4,18,32417,Remote,False,0.6644178573136892,92,0.4699860047504566
795,DevOps Engineer,Manufacturing,Junior,0,Bachelor,"Experienced DevOps Engineer with 2 years in software development. Proficient in Kubernetes, Jenkins, AWS, Ansible. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Experienced', 'Jenkins', 'Strong', 'Proficient', 'Engineer', 'Led', 'Ansible', 'Kubernetes']",2,3,13,134734,On-site,False,0.49109890035761633,76,0.930430020634332
796,Mobile Developer,Finance,Lead,2,High School,"Experienced Mobile Developer with 5 years in software development. Proficient in JavaScript, Python, SQL. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Strong', 'Proficient', 'Developer', 'Led', 'Mobile', 'Experienced']",1,1,0,88616,Hybrid,False,0.46766508563067777,68,0.5155650421377401
797,Backend Developer,E-commerce,Senior,10,Master,"Experienced Backend Developer with 4 years in software development. Proficient in Java, Node.js, Spring, Python. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Node', 'Strong', 'Proficient', 'Developer', 'Led', 'Spring', 'Backend']",5,0,8,94411,Hybrid,True,0.48530712631014034,79,0.989389683879704
798,Data Scientist,E-commerce,Junior,4,High School,"Experienced Data Scientist with 2 years in software development. Proficient in TensorFlow, Scikit-learn, NumPy, SQL. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Data', 'Strong', 'Scientist', 'Scikit', 'Proficient', 'Led', 'Experienced']",6,0,12,78116,Remote,False,0.47348194858772996,82,0.48464380074533336
799,Product Manager,E-commerce,Principal,1,High School,"Experienced Product Manager with 6 years in software development. Proficient in JavaScript, SQL, Python. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Strong', 'Proficient', 'Led', 'Product', 'Manager', 'Experienced']",9,2,15,69446,Hybrid,True,0.8869479296659013,65,0.5435188827662216
800,Data Scientist,Education,Lead,14,Master,"Experienced Data Scientist with 5 years in software development. Proficient in Scikit-learn, Pandas, NumPy, TensorFlow. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Data', 'Strong', 'Scientist', 'Scikit', 'Proficient', 'Led', 'Pandas', 'Experienced']",1,3,11,70806,Remote,False,0.4808892490923637,70,0.5201592221206912
